Name	Set	ImageFile	Type	Affiliation	Energy	EnergyCharge	Unique	DiplomacyValue	DiplomacyText	MilitaryValue	MilitaryText	ScienceValue	ScienceText	Keywords	SpeciesType	Arrow	Gametext
Rom 7.1	7.1	X2-PT060	Crewmember	Ferengi	4		Y					2		Engineering.	Ferengi	Aft	When Rom enters play aboard a Ferengi starship, you may remove 1 token from one of your defense cards. Mission: Oder Rom to move a token from one of your defense cards to another.
Tog 7.1	7.1	X2-PT061	Crewmember	Ferengi	4		Y	2						Trade.	Ferengi	Fore	Mission: While at a planet location and you command Krayton, order Tog twice to take command of an opponent's Diplomacy crewmember (return crewmember at end of location).
Zek 7.1	7.1	X2-PT062	Crewmember	Ferengi	6		Y	3						Leader. Trade.	Ferengi	Aft	Mission: Order Zek and discard a card from hand to play a crewmember from your exhaust pile (you must pay that crewmember's energy cost); reshuffle.
Disruptor Upgrade 7.1	7.1	X2-PT063	Equipment	Klingon	3		N								Upgrade	Fore	Your starship's disruptor gains the additional damage = opponent chooses 1 card to discard from hand.
Glorious Victory 7.1	7.1	X2-PT064	Agenda	Klingon	1	1	N										To play, order a Diplomacy crewmember or a Leader crewmember. Each time you destroy an opponent's crewmember, that opponent must discard the top card of their deck. Dominant - Instead discard 3 cards from the top of their deck.
Fight Hand-to-Hand 7.1	7.1	X2-PT065	Agenda	Klingon	0	1	N										To play, order a Diplomacy crewmember. Any engagement: If an opponent's defense card is down, order 2 Combat crewmembers to make that opponent -1 in this engagement. Dominant - instead order 1 Combat crewmember to make that opponent -1 in this engagement.
Weapons Officer 7.1	7.1	X2-PT066	Crewmember	Klingon	3		N			1				Helm.	Klingon	Fore	The first time you fire a weapon each mission phase, you may draw a card.
Ferocity 7.1	7.1	X2-PT067	Event	Klingon	0		N										Mission: Order a Combat crewmember at a planet location. Fatigue a Science or Diplomacy crewmember, or destroy a fatigued crewmember.
Jadzia Dax 7.1	7.1	X2-PT068	Crewmember	Klingon	4		Y					2		Astrophysics. Helm.	Trill	Fore	Each time you score a Victory point, you may charge 1 energy.
Gowron 7.1	7.1	X2-PT069	Crewmember	Klingon	6		Y	3						Leader. Negotiation.	Klingon	Fore	Each time an opponent wins the Science engagement, they must discard the top 2 cards of their deck.
Honor Guard 7.1	7.1	X2-PT070	Crewmember	Klingon	2		N			1				Combat.	Klingon	Fore Aft	Response: If a crewmember is about to be destroyed, relieve Honor Guard instead and charge 2 energy.
I.K.S. Rotarran 7.1	7.1	X2-PT071	Starship	Klingon		10	Y			1					Bird of Prey		Players who command no crewmembers at the end of the mission phase must destroy one of their Victory points. Mission: Order a Military crewmember to fire a Power 1 disruptor. Damage = Discard 3 cards from top of deck.
Field Medic 7.1	7.1	X2-PT072	Crewmember	Klingon	3		N					1		Medicine.	Klingon	Fore Aft	Response: If a Klingon crewmember is about to be destroyed, order Field Medic and discard cards from hand equal to that crewmember's cost. That crewmember is fatigued instead.
Klingon Diplomat 7.1	7.1	X2-PT073	Crewmember	Klingon	3		N	1						Information.	Klingon	Fore	Response: If you just lost the Diplomacy engagement, order Klingon Diplomat to destroy a Diplomacy crewmember on the starship which won the engagement.
Klingon Scientist 7.1	7.1	X2-PT074	Crewmember	Klingon	3		N					1		Astrophysics.	Klingon	Aft	Response: If you win an engagement at a space location, order Klingon Scientist to negate that engagement's text (you still score any Victory points).
Imperial Veteran 7.1	7.1	X2-PT075	Crewmember	Klingon	2		N			1				Combat.	Klingon	Fore Aft	Response: If you just won the Military engagement at a planet location, order Imperial Veteran to place a fatigue token on a crewmember.
Martok 7.1	7.1	X2-PT076	Crewmember	Klingon	6		Y			3				Leader. Tactical.	Klingon	Fore	Your disruptors and torpedoes gain the additional damage = discard 1 card from top of deck.
Photon Shot 7.1	7.1	X2-PT077	Event	Klingon	*		N							Weapon. Torpedo.			Requires a Klingon starship. Mission: Order a Military crewmember and spend 2 energy for a Power 2 torpedo. Damage = Destroy 1 crewmember or 2 fatigued crewmembers.
Noble Leader 7.1	7.1	X2-PT078	Event	Klingon	1		N										Response: If a Victory point is being removed from play, order a Leader crewmember to score that Victory point.
Intimidate 7.1	7.1	X2-PT079	Event	Klingon	0		N										Any engagement: If you won the Military engagement at this location, add 1 to your total in this engagement.
Peaceful Intentions 7.1	7.1	X2-PT080	Agenda	TNG	0	1	N										To play, order a Diplomacy crewmember. When Peaceful Intentions enters play, you may order a Diplomacy crewmember to return an agenda to its owner's hand
Beverly Crusher 7.1	7.1	X2-PT081	Crewmember	TNG	4		Y					2		Medicine.	Human	Fore Aft	Briefing: Order Beverly Crusher twice to take a crewmember from your discard pile into hand.
Conference 7.1	7.1	X2-PT082	Agenda	TNG	1	1	N										To play, order a Diplomacy crewmember, a Military crewmember, and a Science crewmember. While you command a Diplomacy crewmember, a Military crewmember, and a Science crewmember, add 1 to your total in this engagement. Dominant - Instead relieve Conference to add 2 to your total.
Defensive Posture 7.1	7.1	X2-PT083	Agenda	TNG	0	1	N										To play, order a Diplomacy crewmember. Response: When an opponent fires upon your starship, you may order a Military crewmember to fire a Power 1 phaser at that opponent. Damage = Discard 2 cards from top of deck.
Deanna Troi 7.1	7.1	X2-PT084	Crewmember	TNG	4		Y	2						Communication. Telepathy.	Betazoid Human	Fore	Mission: Order Deanna Troi to destroy one of your hazards.
Diplomatic Envoy 7.1	7.1	X2-PT085	Crewmember	TNG	3		N	1						Negotiation.	Trill	Fore	During a Diplomacy engagement, for each other Diplomatic Envoy you command, this Diplomatic Envoy adds 1 Diplomacy.
Ops Officer 7.1	7.1	X2-PT086	Crewmember	TNG	2		N	1						Communication.	Human	Fore	When you play Ops Officer, you may order Ops Officer to return an agenda to its owner's hand.
Research Team Member 7.1	7.1	X2-PT087	Crewmember	TNG	3		N					1		Astrophysics.	Bolian	Fore	During a Science engagement, for each other Research Team Member you command, this Research Team Member adds 1 Science.
Engineering Technician 7.1	7.1	X2-PT088	Crewmember	TNG	3		N					1		Engineering.	Human	Aft	Mission: Order Engineering Technician to move any number of tokens from one of your defense cards to the other.
Geordi La Forge 7.1	7.1	X2-PT089	Crewmember	TNG	4		Y					2		Engineering.	Human	Aft	At the start of each of your briefing phases, for each other Science crewmember you command, you may place 1 card from hand on your energy pile.
Jean-Luc Picard 7.1	7.1	X2-PT090	Crewmember	TNG	6		Y	3						Leader. Negotiation. Culture.	Human	Fore	Briefing: If Jean-Luc Picard is aboard U.S.S. Enterprise-E, order him to charge 1 energy for each science crewmember you command (limit 3).
Jamaharon 7.1	7.1	X2-PT091	Event	TNG	0		N										Briefing: Order a Negotiation crewmember to destroy an agenda. That agenda's owner may charge up to 3 energy.
Security Officer 7.1	7.1	X2-PT092	Crewmember	TNG	2		N			1				Combat.	Human	Fore Aft	Response: If Security Officer is about to be dismissed or destroyed and you command a Leader crewmember, put Security Officer on owner's exhaust pile instead.
U.S.S. Enterprise-E 7.1	7.1	X2-PT093	Starship	TNG		10	Y	1									Briefing: Order a Diplomacy crewmember to play an agenda from your energy pile (you must pay that agenda's cost); reshuffle. Mission: Order a Military crewmember and spend 2 energy to fire a power 1 phaser. Damage = Discard 2 cards from top of deck.
William T. Riker 7.1	7.1	X2-PT094	Crewmember	TNG	4		Y			2				Tactical. Leader.	Human	Fore	Any engagement: If at a planet location, order William T. Riker to add 1 to your total in this engagement.
Worf 7.1	7.1	X2-PT095	Crewmember	TNG	4		Y			2				Combat.	Klingon	Fore	Response: If a Diplomacy crewmember or a Science crewmember you command is about to be destroyed, order Worf twice to prevent this.
Team Effort 7.1	7.1	X2-PT096	Event	TNG	0		N										Any engagement: If you command a Diplomacy crewmember, a Military crewmember, and a Science crewmember, add 1 to your total in this engagement.
Aft Shield 7.1	7.1	X2-PTAftShield	Shield		3												
Fore Shield 7.1	7.1	X2-PTForeShield	Shield		3												
Turn Sequence 7.1	7.1	X2-PTTurnSequence	Helper														
